id,主类,复合标签,视觉描述,推荐检索词_EN,推荐检索词_ZH,mood,people_count,scene_type,composition,overlay_safe,source_platform,source_url,status
CF021,职场发展,职场发展/通用留白/办公室,窗边远程办公桌面，适合“自由职业、居家办公”,modern office workspace,办公室,治愈,1,校园,45度侧拍,是,待补图,,概念位
CF022,职场发展,职场发展/创业思考/桌面工作台,夜晚加班工作台，适合“职场压力、成长阵痛”,job interview office,桌面工作台,真实自然,0,家庭,主体居中留白,是,待补图,,概念位
CF023,职场发展,职场发展/通用留白/晋升成长,两人会议桌沟通场景，适合“面试复盘、团队协作”,remote work desk,晋升成长,清爽简洁,0,旅途,右侧留白适合盖标题,是,待补图,,概念位
CF024,职场发展,职场发展/转行思考,简洁显示器与键盘的产品工作台，适合“做项目、实习经历”,career desk,转行思考,克制,1,旅途,中景,是,待补图,,概念位
CF025,职场发展,职场发展/创业思考/通用留白/协作会议,会议室玻璃反射中的人影，适合“进入大厂、职业选择”,home office laptop,协作会议,温暖,2,桌面,俯拍桌面,是,待补图,,概念位
CF026,职场发展,职场发展/加班夜晚,咖啡馆工作场景，适合“副业、远程接单”,modern office workspace,加班夜晚,平静,3+,室外,横版宽画幅,是,待补图,,概念位
CF027,职场发展,职场发展/通用留白/远程办公,极简办公桌上的笔记本与记事本，适合“转行、求职、第一份工作”,job interview office,远程办公,希望感,0,城市,左侧留白适合盖标题,是,待补图,,概念位
CF028,职场发展,职场发展/创业思考/面试求职,现代开放式办公室中的空工位，适合“职业规划、升职跳槽”,remote work desk,面试求职,轻微迷茫,1,校园,浅景深,是,待补图,,概念位
CF029,职场发展,职场发展/通用留白/办公室,窗边远程办公桌面，适合“自由职业、居家办公”,career desk,办公室,坚定,1,家庭,远景,是,待补图,,概念位
CF030,职场发展,职场发展/桌面工作台,夜晚加班工作台，适合“职场压力、成长阵痛”,home office laptop,桌面工作台,治愈,0,家庭,45度侧拍,是,待补图,,概念位
CF031,职场发展,职场发展/创业思考/通用留白/晋升成长,两人会议桌沟通场景，适合“面试复盘、团队协作”,modern office workspace,晋升成长,真实自然,0,室外,主体居中留白,是,待补图,,概念位
CF032,职场发展,职场发展/转行思考,简洁显示器与键盘的产品工作台，适合“做项目、实习经历”,job interview office,转行思考,清爽简洁,1,室内,右侧留白适合盖标题,是,待补图,,概念位
CF033,职场发展,职场发展/通用留白/协作会议,会议室玻璃反射中的人影，适合“进入大厂、职业选择”,remote work desk,协作会议,克制,2,桌面,中景,是,待补图,,概念位
CF034,职场发展,职场发展/创业思考/加班夜晚,咖啡馆工作场景，适合“副业、远程接单”,career desk,加班夜晚,温暖,3+,城市,俯拍桌面,是,待补图,,概念位
CF035,人生选择,人生选择/迁移旅行/自我反思/公路远方,山路或公路向远方延伸，适合“离开、重新开始、重大决定”,road journey mountains,公路远方,轻微迷茫,0,城市,浅景深,是,待补图,,概念位
CF036,人生选择,人生选择/路口抉择,站在路口或岔路前的人物背影，适合“选择困难、人生岔路”,person at crossroads,路口抉择,坚定,1,桌面,远景,是,待补图,,概念位
CF037,人生选择,人生选择/迁移旅行/窗边沉思,窗边沉思的单人场景，适合“我该怎么办、纠结与反思”,window reflection alone,窗边沉思,治愈,2,校园,45度侧拍,是,待补图,,概念位
CF038,人生选择,人生选择/城市离开,带行李箱的出发时刻，适合“搬家、去别的城市”,train station departure,城市离开,真实自然,3+,校园,主体居中留白,是,待补图,,概念位
CF039,人生选择,人生选择/迁移旅行/自我反思/山路旅途,高铁站或站台等待，适合“告别过去、奔赴未来”,new beginning road,山路旅途,清爽简洁,0,室内,右侧留白适合盖标题,是,待补图,,概念位
CF040,人生选择,人生选择/重新开始,晨雾山景与道路，适合“迷茫后重新出发”,road journey mountains,重新开始,克制,1,旅途,中景,是,待补图,,概念位
CF041,人生选择,人生选择/迁移旅行/站台出发,山路或公路向远方延伸，适合“离开、重新开始、重大决定”,person at crossroads,站台出发,温暖,2,室外,俯拍桌面,是,待补图,,概念位
CF042,人生选择,人生选择/公路远方,站在路口或岔路前的人物背影，适合“选择困难、人生岔路”,window reflection alone,公路远方,平静,3+,室外,横版宽画幅,是,待补图,,概念位
CF043,人生选择,人生选择/迁移旅行/自我反思/路口抉择,窗边沉思的单人场景，适合“我该怎么办、纠结与反思”,train station departure,路口抉择,希望感,0,校园,左侧留白适合盖标题,是,待补图,,概念位
CF044,人生选择,人生选择/窗边沉思,带行李箱的出发时刻，适合“搬家、去别的城市”,new beginning road,窗边沉思,轻微迷茫,1,城市,浅景深,是,待补图,,概念位
CF045,人生选择,人生选择/迁移旅行/城市离开,高铁站或站台等待，适合“告别过去、奔赴未来”,road journey mountains,城市离开,坚定,2,家庭,远景,是,待补图,,概念位
CF046,人生选择,人生选择/山路旅途,晨雾山景与道路，适合“迷茫后重新出发”,person at crossroads,山路旅途,治愈,3+,家庭,45度侧拍,是,待补图,,概念位
CF047,人生选择,人生选择/迁移旅行/自我反思/重新开始,山路或公路向远方延伸，适合“离开、重新开始、重大决定”,window reflection alone,重新开始,真实自然,0,室外,主体居中留白,是,待补图,,概念位
CF048,人生选择,人生选择/站台出发,站在路口或岔路前的人物背影，适合“选择困难、人生岔路”,train station departure,站台出发,清爽简洁,1,室内,右侧留白适合盖标题,是,待补图,,概念位
CF049,学习成长,学习成长/自我反思/职场发展/图书馆学习,图书馆双人学习桌，适合“考研、期末、互相鼓励”,students library study,图书馆学习,轻微迷茫,1,城市,浅景深,是,待补图,,概念位
CF050,学习成长,学习成长/自习室,自习室夜晚台灯与教材，适合“长期坚持、自律成长”,study desk notes,自习室,坚定,0,桌面,远景,是,待补图,,概念位
CF051,学习成长,学习成长/双人学习,校园步道上的学生背影，适合“大学生活、成长记录”,campus student walking,双人学习,治愈,2,城市,45度侧拍,是,待补图,,概念位
CF052,学习成长,学习成长/自我反思/考试备战,课堂讨论或小组学习，适合“课程项目、竞赛合作”,library learning space,考试备战,真实自然,3+,家庭,主体居中留白,是,待补图,,概念位
CF053,学习成长,学习成长/职场发展/笔记书桌,书桌、手写笔记与电脑，适合“学习方法、经验分享”,exam preparation desk,笔记书桌,清爽简洁,0,旅途,右侧留白适合盖标题,是,待补图,,概念位
CF054,学习成长,学习成长/校园步道,现代图书馆安静阅读，适合“沉浸学习、查资料”,students library study,校园步道,克制,1,旅途,中景,是,待补图,,概念位
CF055,学习成长,学习成长/自我反思/课堂讨论,备考焦虑但专注的单人场景，适合“高考、考公、考研”,study desk notes,课堂讨论,温暖,2,室外,俯拍桌面,是,待补图,,概念位
CF056,学习成长,学习成长/夜读,图书馆双人学习桌，适合“考研、期末、互相鼓励”,campus student walking,夜读,平静,1,室外,横版宽画幅,是,待补图,,概念位
CF057,学习成长,学习成长/职场发展/图书馆学习,自习室夜晚台灯与教材，适合“长期坚持、自律成长”,library learning space,图书馆学习,希望感,1,城市,左侧留白适合盖标题,是,待补图,,概念位
CF058,学习成长,学习成长/自我反思/自习室,校园步道上的学生背影，适合“大学生活、成长记录”,exam preparation desk,自习室,轻微迷茫,0,校园,浅景深,是,待补图,,概念位
CF059,学习成长,学习成长/双人学习,课堂讨论或小组学习，适合“课程项目、竞赛合作”,students library study,双人学习,坚定,2,校园,远景,是,待补图,,概念位
CF060,学习成长,学习成长/考试备战,书桌、手写笔记与电脑，适合“学习方法、经验分享”,study desk notes,考试备战,治愈,3+,家庭,45度侧拍,是,待补图,,概念位
CF061,学习成长,学习成长/自我反思/职场发展/笔记书桌,现代图书馆安静阅读，适合“沉浸学习、查资料”,campus student walking,笔记书桌,真实自然,0,室外,主体居中留白,是,待补图,,概念位
CF062,学习成长,学习成长/校园步道,备考焦虑但专注的单人场景，适合“高考、考公、考研”,library learning space,校园步道,清爽简洁,1,室内,右侧留白适合盖标题,是,待补图,,概念位
CF063,学习成长,学习成长/课堂讨论,图书馆双人学习桌，适合“考研、期末、互相鼓励”,exam preparation desk,课堂讨论,克制,2,室外,中景,是,待补图,,概念位
CF064,情感关系,情感关系/家庭亲情/城市生活/情侣沟通,两人在室内并肩阅读或交谈，适合“恋爱沟通、关系经营”,couple talking indoors,情侣沟通,轻微迷茫,0,城市,浅景深,是,待补图,,概念位
CF065,情感关系,情感关系/并肩独处,阳台或窗边拥抱，适合“重逢、和解、陪伴”,couple balcony hug,并肩独处,坚定,1,桌面,远景,是,待补图,,概念位
CF066,情感关系,情感关系/和解拥抱,海边或公园漫步，适合“恋爱、告白、相处日常”,romantic beach couple,和解拥抱,治愈,2,城市,45度侧拍,是,待补图,,概念位
CF067,情感关系,情感关系/家庭亲情/海边相伴,同一空间中的轻微疏离感，适合“分手、冷战、情感困惑”,relationship conversation cafe,海边相伴,真实自然,3+,家庭,主体居中留白,是,待补图,,概念位
CF068,情感关系,情感关系/城市生活/居家陪伴,餐桌对坐或咖啡馆交流，适合“关系讨论、坦白局”,two people back view,居家陪伴,清爽简洁,0,旅途,右侧留白适合盖标题,是,待补图,,概念位
CF069,情感关系,情感关系/关系疏离,背影式双人画面，适合“婚姻、陪伴、长期关系”,couple talking indoors,关系疏离,克制,1,旅途,中景,是,待补图,,概念位
CF070,情感关系,情感关系/家庭亲情/约会散步,独处后望向对方的场景，适合“失恋、挽回、情绪波动”,couple balcony hug,约会散步,温暖,2,室外,俯拍桌面,是,待补图,,概念位
CF071,情感关系,情感关系/窗边对望,两人在室内并肩阅读或交谈，适合“恋爱沟通、关系经营”,romantic beach couple,窗边对望,平静,3+,室外,横版宽画幅,是,待补图,,概念位
CF072,情感关系,情感关系/城市生活/情侣沟通,阳台或窗边拥抱，适合“重逢、和解、陪伴”,relationship conversation cafe,情侣沟通,希望感,0,城市,左侧留白适合盖标题,是,待补图,,概念位
CF073,情感关系,情感关系/家庭亲情/并肩独处,海边或公园漫步，适合“恋爱、告白、相处日常”,two people back view,并肩独处,轻微迷茫,1,校园,浅景深,是,待补图,,概念位
CF074,情感关系,情感关系/和解拥抱,同一空间中的轻微疏离感，适合“分手、冷战、情感困惑”,couple talking indoors,和解拥抱,坚定,2,校园,远景,是,待补图,,概念位
CF075,情感关系,情感关系/海边相伴,餐桌对坐或咖啡馆交流，适合“关系讨论、坦白局”,couple balcony hug,海边相伴,治愈,3+,家庭,45度侧拍,是,待补图,,概念位
CF076,情感关系,情感关系/家庭亲情/城市生活/居家陪伴,背影式双人画面，适合“婚姻、陪伴、长期关系”,romantic beach couple,居家陪伴,真实自然,0,室外,主体居中留白,是,待补图,,概念位
CF077,情感关系,情感关系/关系疏离,独处后望向对方的场景，适合“失恋、挽回、情绪波动”,relationship conversation cafe,关系疏离,清爽简洁,1,室内,右侧留白适合盖标题,是,待补图,,概念位
CF078,情感关系,情感关系/约会散步,两人在室内并肩阅读或交谈，适合“恋爱沟通、关系经营”,two people back view,约会散步,克制,2,室外,中景,是,待补图,,概念位
CF079,情感关系,情感关系/家庭亲情/窗边对望,阳台或窗边拥抱，适合“重逢、和解、陪伴”,couple talking indoors,窗边对望,温暖,3+,城市,俯拍桌面,是,待补图,,概念位
CF080,情感关系,情感关系/城市生活/情侣沟通,海边或公园漫步，适合“恋爱、告白、相处日常”,couple balcony hug,情侣沟通,平静,0,校园,横版宽画幅,是,待补图,,概念位
CF081,创业思考,创业思考/职场发展/通用留白/创始人沉思,创始人独自坐在桌前思考，适合“创业想法、商业判断”,entrepreneur thinking desk,创始人沉思,轻微迷茫,1,城市,浅景深,是,待补图,,概念位
CF082,创业思考,创业思考/极简工作台,白板与便利贴的讨论角落，适合“产品规划、团队方向”,startup team whiteboard,极简工作台,坚定,2,桌面,远景,是,待补图,,概念位
CF083,创业思考,创业思考/职场发展/白板讨论,极简工作台与原型草图，适合“从想法到产品”,product sketch workspace,白板讨论,治愈,2,校园,45度侧拍,是,待补图,,概念位
CF084,创业思考,创业思考/产品草图,夜间办公室与电脑屏幕，适合“熬夜开发、项目冲刺”,night office laptop,产品草图,真实自然,3+,校园,主体居中留白,是,待补图,,概念位
CF085,创业思考,创业思考/职场发展/夜间办公,小团队围桌交流，适合“合伙人、协作、创业初期”,small team collaboration,夜间办公,清爽简洁,0,旅途,右侧留白适合盖标题,是,待补图,,概念位
CF086,创业思考,创业思考/通用留白/城市办公室,城市景观旁的办公桌，适合“融资、未来想象、扩张”,entrepreneur thinking desk,城市办公室,克制,2,室内,中景,是,待补图,,概念位
CF087,创业思考,创业思考/职场发展/小团队协作,创始人独自坐在桌前思考，适合“创业想法、商业判断”,startup team whiteboard,小团队协作,温暖,3+,室外,俯拍桌面,是,待补图,,概念位
CF088,创业思考,创业思考/创始人沉思,白板与便利贴的讨论角落，适合“产品规划、团队方向”,product sketch workspace,创始人沉思,平静,0,室外,横版宽画幅,是,待补图,,概念位
CF089,创业思考,创业思考/职场发展/极简工作台,极简工作台与原型草图，适合“从想法到产品”,night office laptop,极简工作台,希望感,1,城市,左侧留白适合盖标题,是,待补图,,概念位
CF090,创业思考,创业思考/白板讨论,夜间办公室与电脑屏幕，适合“熬夜开发、项目冲刺”,small team collaboration,白板讨论,轻微迷茫,1,城市,浅景深,是,待补图,,概念位
CF091,创业思考,创业思考/职场发展/通用留白/产品草图,小团队围桌交流，适合“合伙人、协作、创业初期”,entrepreneur thinking desk,产品草图,坚定,2,旅途,远景,是,待补图,,概念位
CF092,创业思考,创业思考/夜间办公,城市景观旁的办公桌，适合“融资、未来想象、扩张”,startup team whiteboard,夜间办公,治愈,3+,家庭,45度侧拍,是,待补图,,概念位
CF093,家庭亲情,家庭亲情/情感关系/家庭晚餐,家庭餐桌的温暖时刻，适合“回家、节日、亲情修复”,family dinner home,家庭晚餐,轻微迷茫,0,桌面,浅景深,是,待补图,,概念位
CF094,家庭亲情,家庭亲情/亲子陪伴,客厅沙发上的亲子陪伴，适合“教育、成长、陪伴”,parent child home,亲子陪伴,坚定,1,桌面,远景,是,待补图,,概念位
CF095,家庭亲情,家庭亲情/多代同堂,多代同堂合影感场景，适合“家庭责任、孝顺、传统”,family living room warm,多代同堂,治愈,2,城市,45度侧拍,是,待补图,,概念位
CF096,家庭亲情,家庭亲情/客厅交流,厨房或家务场景，适合“照料家人、日常生活”,home reunion,客厅交流,真实自然,3+,校园,主体居中留白,是,待补图,,概念位
CF097,家庭亲情,家庭亲情/情感关系/回家时刻,门口迎接或送别，适合“离家、归来、牵挂”,multi generation family,回家时刻,清爽简洁,0,旅途,右侧留白适合盖标题,是,待补图,,概念位
CF098,家庭亲情,家庭亲情/家庭照料,长辈与年轻人交谈，适合“代际沟通、家庭选择”,family dinner home,家庭照料,克制,1,旅途,中景,是,待补图,,概念位
CF099,家庭亲情,家庭亲情/节日团聚,家庭餐桌的温暖时刻，适合“回家、节日、亲情修复”,parent child home,节日团聚,温暖,2,室内,俯拍桌面,是,待补图,,概念位
CF100,家庭亲情,家庭亲情/家庭晚餐,客厅沙发上的亲子陪伴，适合“教育、成长、陪伴”,family living room warm,家庭晚餐,平静,3+,室外,横版宽画幅,是,待补图,,概念位
CF101,家庭亲情,家庭亲情/情感关系/亲子陪伴,多代同堂合影感场景，适合“家庭责任、孝顺、传统”,home reunion,亲子陪伴,希望感,0,城市,左侧留白适合盖标题,是,待补图,,概念位
CF102,家庭亲情,家庭亲情/多代同堂,厨房或家务场景，适合“照料家人、日常生活”,multi generation family,多代同堂,轻微迷茫,1,城市,浅景深,是,待补图,,概念位
CF103,家庭亲情,家庭亲情/客厅交流,门口迎接或送别，适合“离家、归来、牵挂”,family dinner home,客厅交流,坚定,2,校园,远景,是,待补图,,概念位
CF104,家庭亲情,家庭亲情/回家时刻,长辈与年轻人交谈，适合“代际沟通、家庭选择”,parent child home,回家时刻,治愈,3+,家庭,45度侧拍,是,待补图,,概念位
CF105,家庭亲情,家庭亲情/情感关系/家庭照料,家庭餐桌的温暖时刻，适合“回家、节日、亲情修复”,family living room warm,家庭照料,真实自然,0,室内,主体居中留白,是,待补图,,概念位
CF106,城市生活,城市生活/自我反思/地铁通勤,地铁车厢或站台等待，适合“通勤、北漂沪漂、节奏”,city window night,地铁通勤,轻微迷茫,0,桌面,浅景深,是,待补图,,概念位
CF107,城市生活,城市生活/窗外夜景,夜晚窗外城市灯光，适合“大城市孤独、奋斗”,metro commute,窗外夜景,坚定,1,桌面,远景,是,待补图,,概念位
CF108,城市生活,城市生活/自我反思/街头步行,咖啡馆独处与街景，适合“城市日常、轻生活”,coffee shop alone,街头步行,治愈,2,校园,45度侧拍,是,待补图,,概念位
CF109,城市生活,城市生活/咖啡馆独处,步行街背影或斑马线，适合“转场、生活记录”,urban street walking,咖啡馆独处,真实自然,0,校园,主体居中留白,是,待补图,,概念位
CF110,城市生活,城市生活/自我反思/城市天际线,出租屋一角，适合“独居、工作与生活平衡”,apartment interior minimal,城市天际线,清爽简洁,1,旅途,右侧留白适合盖标题,是,待补图,,概念位
CF111,城市生活,城市生活/出租屋日常,地铁车厢或站台等待，适合“通勤、北漂沪漂、节奏”,city window night,出租屋日常,克制,2,旅途,中景,是,待补图,,概念位
CF112,城市生活,城市生活/自我反思/地铁通勤,夜晚窗外城市灯光，适合“大城市孤独、奋斗”,metro commute,地铁通勤,温暖,2,室外,俯拍桌面,是,待补图,,概念位
CF113,城市生活,城市生活/窗外夜景,咖啡馆独处与街景，适合“城市日常、轻生活”,coffee shop alone,窗外夜景,平静,3+,室外,横版宽画幅,是,待补图,,概念位
CF114,城市生活,城市生活/自我反思/街头步行,步行街背影或斑马线，适合“转场、生活记录”,urban street walking,街头步行,希望感,0,城市,左侧留白适合盖标题,是,待补图,,概念位
CF115,城市生活,城市生活/咖啡馆独处,出租屋一角，适合“独居、工作与生活平衡”,apartment interior minimal,咖啡馆独处,轻微迷茫,2,城市,浅景深,是,待补图,,概念位
CF116,自我反思,自我反思/独处沉思,单人窗边发呆，适合“内耗、迷茫、自我和解”,alone by window,独处沉思,轻微迷茫,0,室外,浅景深,是,待补图,,概念位
CF117,自我反思,自我反思/窗边发呆,空房间与一把椅子，适合“失落、留白、重新整理自己”,empty room chair,窗边发呆,坚定,1,桌面,远景,是,待补图,,概念位
CF118,自我反思,自我反思/空房间,夜晚台灯与书桌，适合“深夜思考、情绪记录”,rainy window mood,空房间,治愈,1,城市,45度侧拍,是,待补图,,概念位
CF119,自我反思,自我反思/夜晚台灯,雨天玻璃窗与模糊景色，适合“情绪低落、回忆”,night lamp desk,夜晚台灯,真实自然,3+,校园,主体居中留白,是,待补图,,概念位
CF120,自我反思,自我反思/雨天室内,公园独自散步背影，适合“恢复、平静、疗愈”,walking alone park,雨天室内,清爽简洁,0,家庭,右侧留白适合盖标题,是,待补图,,概念位
CF121,自我反思,自我反思/散步背影,单人窗边发呆，适合“内耗、迷茫、自我和解”,alone by window,散步背影,克制,1,旅途,中景,是,待补图,,概念位
CF122,自我反思,自我反思/独处沉思,空房间与一把椅子，适合“失落、留白、重新整理自己”,empty room chair,独处沉思,温暖,2,室内,俯拍桌面,是,待补图,,概念位
CF123,自我反思,自我反思/窗边发呆,夜晚台灯与书桌，适合“深夜思考、情绪记录”,rainy window mood,窗边发呆,平静,3+,室外,横版宽画幅,是,待补图,,概念位
CF124,自我反思,自我反思/空房间,雨天玻璃窗与模糊景色，适合“情绪低落、回忆”,night lamp desk,空房间,希望感,3+,桌面,左侧留白适合盖标题,是,待补图,,概念位
CF125,自我反思,自我反思/夜晚台灯,公园独自散步背影，适合“恢复、平静、疗愈”,walking alone park,夜晚台灯,轻微迷茫,1,城市,浅景深,是,待补图,,概念位
CF126,迁移旅行,迁移旅行/人生选择/机场出发,机场候机与行李箱，适合“留学、搬迁、远行”,airport luggage departure,机场出发,轻微迷茫,0,桌面,浅景深,是,待补图,,概念位
CF127,迁移旅行,迁移旅行/行李与道路,火车站台与离别，适合“异地、出发、人生变化”,train station traveler,行李与道路,坚定,2,桌面,远景,是,待补图,,概念位
CF128,迁移旅行,迁移旅行/人生选择/异地生活,公路旅行与远山，适合“新开始、迁移、长期计划”,road trip mountains,异地生活,治愈,2,校园,45度侧拍,是,待补图,,概念位
CF129,迁移旅行,迁移旅行/火车站,陌生城市街景，适合“新生活、新环境”,new city street traveler,火车站,真实自然,2,校园,主体居中留白,是,待补图,,概念位
CF130,迁移旅行,迁移旅行/人生选择/旅途公路,旅馆窗前或背包整理，适合“到达另一座城市”,hotel window suitcase,旅途公路,清爽简洁,0,旅途,右侧留白适合盖标题,是,待补图,,概念位
CF131,迁移旅行,迁移旅行/陌生城市,机场候机与行李箱，适合“留学、搬迁、远行”,airport luggage departure,陌生城市,克制,1,旅途,中景,是,待补图,,概念位
CF132,迁移旅行,迁移旅行/人生选择/机场出发,火车站台与离别，适合“异地、出发、人生变化”,train station traveler,机场出发,温暖,2,室外,俯拍桌面,是,待补图,,概念位
CF133,迁移旅行,迁移旅行/行李与道路,公路旅行与远山，适合“新开始、迁移、长期计划”,road trip mountains,行李与道路,平静,0,室外,横版宽画幅,是,待补图,,概念位
CF134,迁移旅行,迁移旅行/人生选择/异地生活,陌生城市街景，适合“新生活、新环境”,new city street traveler,异地生活,希望感,0,城市,左侧留白适合盖标题,是,待补图,,概念位
CF135,迁移旅行,迁移旅行/火车站,旅馆窗前或背包整理，适合“到达另一座城市”,hotel window suitcase,火车站,轻微迷茫,0,城市,浅景深,是,待补图,,概念位
CF136,通用留白,通用留白/职场发展/自我反思/极简桌面,极简桌面与大面积空白墙面，适合任何标题覆盖,minimal desk blank wall,极简桌面,轻微迷茫,0,城市,浅景深,是,待补图,,概念位
CF137,通用留白,通用留白/自然风景,柔和窗帘与自然光，适合通用故事卡封面,soft curtain sunlight,自然风景,坚定,1,桌面,远景,是,待补图,,概念位
CF138,通用留白,通用留白/职场发展/抽象光影,植物角落与木质家具，适合温暖治愈主题,plant corner interior,抽象光影,治愈,2,校园,45度侧拍,是,待补图,,概念位
CF139,通用留白,通用留白/自我反思/空椅子,抽象光影落在墙面上，适合通用留白与情绪过渡,abstract light shadow wall,空椅子,真实自然,2,家庭,主体居中留白,是,待补图,,概念位
CF140,通用留白,通用留白/职场发展/窗帘与光,安静风景与低饱和天空，适合“后来、然后呢”类标题,empty chair room,窗帘与光,清爽简洁,0,旅途,右侧留白适合盖标题,是,待补图,,概念位
CF141,通用留白,通用留白/墙面留白,空椅子、桌子或走廊，适合等待、回访、留白意味,minimal desk blank wall,墙面留白,克制,1,旅途,中景,是,待补图,,概念位
CF142,通用留白,通用留白/职场发展/自我反思/植物角落,极简桌面与大面积空白墙面，适合任何标题覆盖,soft curtain sunlight,植物角落,温暖,2,桌面,俯拍桌面,是,待补图,,概念位
CF143,通用留白,通用留白/极简桌面,柔和窗帘与自然光，适合通用故事卡封面,plant corner interior,极简桌面,平静,3+,室外,横版宽画幅,是,待补图,,概念位
CF144,通用留白,通用留白/职场发展/自然风景,植物角落与木质家具，适合温暖治愈主题,abstract light shadow wall,自然风景,希望感,0,城市,左侧留白适合盖标题,是,待补图,,概念位
CF145,通用留白,通用留白/自我反思/抽象光影,抽象光影落在墙面上，适合通用留白与情绪过渡,empty chair room,抽象光影,轻微迷茫,1,校园,浅景深,是,待补图,,概念位
